date,sentiment_geopolitical,oil_relevance_geopolitical,news_count_geopolitical,positive_prob_geopolitical,neutral_prob_geopolitical,negative_prob_geopolitical
2020-01-30,-0.9567969376221299,2.0,1,0.012160426937043667,0.018882259726524353,0.9689573645591736
2020-02-02,0.2714835163205862,2.0,2,0.48801191058009863,0.2954596970230341,0.21652839425951242
2020-02-03,-0.9087120406329632,2.0,1,0.02158038690686226,0.0481271855533123,0.9302924275398254
2020-02-05,-0.837994440458715,2.0,2,0.04719735775142908,0.06761081330478191,0.885191798210144
2020-02-06,-0.40092213079333305,1.0,1,0.06120707467198372,0.4766637980937958,0.4621292054653168
2020-02-07,-0.008937671780586243,2.0,1,0.14661572873592377,0.697830855846405,0.15555340051651
2020-02-11,-0.6785550334801277,2.0,3,0.025294242426753044,0.27085646738608676,0.7038492759068807
2020-02-12,-0.3313082432374358,1.8,5,0.053967573679983616,0.5607566248625517,0.3852758169174194
2020-02-13,-0.7912695184350014,1.0,1,0.055808864533901215,0.09711268544197083,0.8470783829689026
2020-02-17,0.27524732425808907,1.0,1,0.29209455847740173,0.6910581588745117,0.016847234219312668
2020-02-18,-0.9446991607546806,2.0,1,0.008637972176074982,0.0380249097943306,0.9533371329307556
2020-02-19,0.4747449904680252,2.0,2,0.5605661571025848,0.3536127209663391,0.08582116663455963
2020-02-20,-0.37019470799714327,1.5,2,0.09924315754324198,0.4313189573585987,0.46943786554038525
2020-02-21,-0.49400496762245893,1.5,2,0.027427551336586475,0.45113997906446457,0.5214325189590454
2020-02-24,0.5396303366869688,1.0,1,0.5612735748291016,0.41708314418792725,0.02164323814213276
2020-02-25,0.38694890635088086,1.5,2,0.4015716314315796,0.5838056057691574,0.014622725080698729
2020-02-26,0.15924296714365482,1.0,1,0.17231082916259766,0.8146213293075562,0.013067862018942833
2020-02-27,0.856474507600069,1.0,1,0.8833853602409363,0.08970378339290619,0.026910852640867233
2020-02-28,-0.5959699675440788,2.0,1,0.11400068551301956,0.17602866888046265,0.7099706530570984
2020-02-29,-0.3662819853052497,1.5,2,0.059163475409150124,0.5153910741209984,0.4254454607143998
2020-03-01,0.43665084801614285,1.0,1,0.4516354203224182,0.5333799719810486,0.014984572306275368
2020-03-03,-0.7195995096117258,2.0,1,0.025414442643523216,0.2295716106891632,0.745013952255249
2020-03-04,-0.16440247790887952,1.0,2,0.15795321390032768,0.5196911096572876,0.3223556918092072
2020-03-05,0.17509122379124165,1.6666666666666667,3,0.3432924263179302,0.48850637177626294,0.16820120252668858
2020-03-06,-0.6723047904670238,2.0,1,0.02252562716603279,0.2826439440250397,0.6948304176330566
2020-03-07,-0.15662879310548306,1.0,1,0.030369142070412636,0.7826329469680786,0.1869979351758957
2020-03-09,-0.3212565486319363,2.5,4,0.25433484790846705,0.17007373832166195,0.5755913965404034
2020-03-10,0.17470846573511759,2.3333333333333335,3,0.4152618621786435,0.3441847451031208,0.24055339644352594
2020-03-11,-0.3648456782102585,1.6666666666666667,3,0.048130872969826065,0.5388925770918528,0.41297655118008453
2020-03-12,0.02434634106854598,1.6666666666666667,3,0.0678974948823452,0.8885513742764791,0.043551153813799225
2020-03-14,0.007493540644645691,1.0,1,0.09313258528709412,0.8212283849716187,0.08563904464244843
2020-03-16,0.04169240593910217,3.0,1,0.10126426815986633,0.8391638994216919,0.05957186222076416
2020-03-17,-0.8588549422565848,1.5,4,0.02735253400169313,0.08643998298794031,0.8862074762582779
2020-03-18,-0.7293319006760915,2.1666666666666665,6,0.028492058006425697,0.21368399759133658,0.7578239586825172
2020-03-19,-0.37207019166089594,2.25,4,0.250488190446049,0.1269534225575626,0.6225583821069449
2020-03-20,-0.0478680245578289,2.0,2,0.33175067976117134,0.2886306196451187,0.37961870431900024
2020-03-24,0.23855870962142944,2.0,1,0.593963086605072,0.0506325364112854,0.3554043769836426
2020-03-26,0.7364386096596718,1.0,1,0.807376503944397,0.12168558686971664,0.07093789428472519
2020-03-27,-0.7895500585436821,2.0,1,0.028518684208393097,0.15341252088546753,0.8180687427520752
2020-03-28,-0.4216826409101486,2.0,1,0.1931339055299759,0.1920495331287384,0.6148165464401245
2020-03-31,-0.36471674758940936,1.6,5,0.2392328381538391,0.1568176057189703,0.6039495857432484
2020-04-01,-0.538356983413299,2.0,3,0.04855147128303846,0.36454008022944134,0.5869084546963373
2020-04-02,-0.1407906597480178,2.4,5,0.2297951191663742,0.39961913228034973,0.370585778914392
2020-04-03,-0.4130196273326874,3.0,1,0.16321757435798645,0.26054516434669495,0.5762372016906738
2020-04-04,0.4007766917347908,2.5,2,0.458708506077528,0.4833597056567669,0.0579318143427372
2020-04-05,-0.12822010492285094,1.6666666666666667,3,0.3126871905600031,0.24640551333626112,0.44090729548285407
2020-04-06,-0.7203944846987724,2.0,1,0.016612716019153595,0.2463800460100174,0.737007200717926
2020-04-07,0.029975284356623888,1.5,2,0.47049849294126034,0.088978361338377,0.44052320858463645
2020-04-08,-0.24410352110862732,2.0,1,0.1478705108165741,0.4601554572582245,0.3919740319252014
2020-04-09,0.0833314514408509,1.6666666666666667,3,0.231258325278759,0.6208147803942362,0.14792687383790812
2020-04-11,0.10256916843354702,2.0,1,0.1130526065826416,0.8764638900756836,0.010483438149094582
2020-04-12,-0.0506712527324756,2.0,3,0.3213528636842966,0.30662300686041516,0.3720241164167722
2020-04-13,0.08230448886752129,1.8,5,0.3983343131840229,0.28563587963581083,0.3160298243165016
2020-04-14,-0.7082234822834531,1.6666666666666667,3,0.03316002059727907,0.225456519673268,0.7413835028807322
2020-04-15,-0.05317905669411024,1.6666666666666667,3,0.24646608904004097,0.45388877391815186,0.2996451457341512
